tokens,embedding
anyone,"[-0.02274856 -0.01488146 -0.00854103 ... -0.01815484  0.00057765
 -0.00885736]"
anything,"[-0.00629541 -0.01624578  0.00742803 ... -0.02376414 -0.00061582
 -0.02063728]"
anyway,"[-0.02414964 -0.02687278 -0.02121396 ... -0.02602263  0.00379248
 -0.02684622]"
apart,"[-0.01960457  0.00548707  0.01443459 ... -0.00468745 -0.00070269
 -0.01843271]"
apocalypse,"[-0.01056702 -0.02642416 -0.01846253 ...  0.00801454 -0.00702925
 -0.02105469]"
apocalyptic,"[-0.02460754 -0.0195088  -0.00348323 ...  0.00428757 -0.00945447
 -0.0389358 ]"
apologizes,"[-0.01637831 -0.01717885 -0.02162777 ... -0.01100418  0.00256239
 -0.00808416]"
apophis,"[-0.00590372  0.00330348 -0.01695991 ...  0.00685737 -0.00363966
 -0.02792348]"
app,"[ 0.01620784 -0.01429615  0.00148485 ...  0.00989787 -0.00369525
 -0.01131086]"
apparently,"[-0.00563186 -0.01359485 -0.00563186 ... -0.01427053 -0.00307438
 -0.01533812]"
appear,"[ 0.0020461  -0.02333795  0.01009789 ... -0.01569739 -0.0011246
 -0.01144741]"
apple,"[ 0.00776228 -0.02305369 -0.00738513 ... -0.01357027 -0.01567541
  0.00616114]"
application,"[-0.00011507 -0.01739888  0.02030565 ... -0.00425584  0.00166461
 -0.00143078]"
approaching,"[ 0.00323484 -0.00935563  0.00428828 ... -0.01094087  0.00125414
 -0.01233643]"
approved,"[ 0.00303583 -0.01892578 -0.02051    ... -0.00744725 -0.00864249
 -0.0029987 ]"
approves,"[-0.00471895 -0.01820167 -0.0229619  ... -0.01411558  0.02314075
  0.01128834]"
apps,"[ 0.00833569 -0.00133255  0.02376867 ...  0.00079709 -0.00702487
 -0.00621013]"
apriljuly,"[-0.03153753 -0.00084642 -0.01135004 ... -0.00192944 -0.00587163
 -0.01620864]"
aquarium,"[-0.00606544 -0.01188878 -0.00124155 ... -0.02142206 -0.00767504
 -0.01422467]"
arbitrary,"[-0.01839954 -0.01855195 -0.00724621 ... -0.03452685 -0.00171803
 -0.03045346]"
archaeological,"[-0.01436705 -0.00607684  0.01624908 ... -0.007104   -0.0028131
 -0.01900585]"
archbishops,"[ 0.00181289 -0.01289089 -0.00885686 ...  0.00075941 -0.00287848
 -0.01184605]"
archeology,"[ 0.00284146 -0.01087307  0.01142418 ...  0.00052801 -0.01060076
 -0.02363936]"
archives,"[ 0.00200077 -0.01883396  0.0006602  ... -0.00722746 -0.00170048
 -0.00239714]"
area,"[ 0.0069197  -0.02055478  0.00791407 ... -0.02311562 -0.01068604
 -0.01825276]"
argentina,"[-0.00356278 -0.00898124 -0.01617943 ... -0.00410429 -0.01880777
 -0.02786825]"
argued,"[-0.01712959  0.0045736   0.00189111 ... -0.02215884 -0.00833868
 -0.01771885]"
argument,"[-0.01188872 -0.01400655  0.00942021 ... -0.00929645 -0.00038119
 -0.02780682]"
arm,"[-0.00694759 -0.02283348 -0.01215377 ... -0.00096916  0.01585337
 -0.00714269]"
armaaruss,"[-0.01460589 -0.00789254 -0.00480721 ... -0.01747347  0.0133932
 -0.01854546]"
army,"[-0.02285757 -0.02437001 -0.00891025 ... -0.00257444  0.0107712
  0.0041888 ]"
around,"[ 0.00416122 -0.02198275  0.00518694 ... -0.00059305 -0.00697424
 -0.03759846]"
arranged,"[-0.01120249 -0.01127207  0.00055143 ... -0.01852238 -0.01868938
 -0.02989187]"
arrest,"[-0.02060302 -0.00061456  0.00521434 ...  0.01032159 -0.02996073
  0.00576657]"
arrested,"[-0.03059255 -0.00581495  0.00139296 ...  0.00579524 -0.03019832
  0.00780583]"
art,"[-0.00890675  0.00596679 -0.00676191 ...  0.00186253  0.00233359
 -0.02679374]"
artemis,"[-0.00990746 -0.00827976 -0.03093979 ... -0.00733139 -0.00197241
 -0.02247843]"
arthur,"[-0.01608839  0.00924241 -0.02047736 ... -0.00850867 -0.00821922
 -0.00634112]"
